Latitude,Longitude,Analyst
" 28°33'57.28""N"," 76°51'38.28""E",Kumar
" 28°49'21.73""N"," 77° 2'5.02""E",Kumar
" 32°36'45.95""N"," 13° 4'32.70""E",Kumar
" 32°27'51.90""N"," 11°54'58.54""E",Kumar
" 35°20'41.72""N"," 25°10'16.64""E",Kumar
" 44°24'6.69""N"," 25°37'43.46""E",Kumar
" 38°44'41.41""N"," 97°47'18.85""W",Kumar
" 23° 3'37.33""N"," 82°29'23.97""W",Kumar
" 11°46'46.02""N"," 70°10'12.14""W",Kumar
" 23°29'3.94""S"," 70°24'52.37""W",Kumar
40° 46' 12.59'' N,43° 49' 51.33'' E,Sukhraj
40° 48' 38.98'' N,43° 49' 11.19'' E,Sukhraj
40° 47' 38.94'' N,43° 49' 11.19'' E,Sukhraj
43° 6' 29.84'' N,40° 34' 15.32'' E,Sukhraj
44° 49' 11.05'' N,44° 10' 49.27'' E,Sukhraj
45° 27' 11.16'' N,39° 24' 51.93'' E,Sukhraj
45° 31' 28.83'' N,39° 21' 26.25'' E,Sukhraj
45° 53' 52.44'' N,40° 1' 46.42'' E,Sukhraj
45° 52' 49.12'' N,40° 5' 34.08'' E,Sukhraj
47° 31' 57.09'' N,40° 5' 39.31'' E,Sukhraj
47° 31' 27.94'' N,40° 8' 43.02'' E,Sukhraj
48° 19' 38.45'' N,41° 46' 15.47'' E,Sukhraj
48° 55' 39.42'' N,40° 24' 39.71'' E,Sukhraj
49° 57' 9.95'' N,40° 27' 11.16'' E,Sukhraj
49° 57' 1.54'' N,40° 28' 46.6'' E,Sukhraj
50° 16' 31.41'' N,38° 0' 16.07'' E,Sukhraj
52° 40' 52.85'' N,41° 27' 45.3'' E,Sukhraj
46° 46' 17.23'' N,142° 44' 6.57'' E,Sukhraj
46° 53' 35.67'' N,35° 18' 35.32'' E,Sukhraj
" 30°36'44.87""N","119°51'14.22""E",Kumar
" 39°55'16.40""N","116° 0'8.97""E",Kumar
" 39°18'14.09""N","118°49'5.23""E",Kumar
" 31°46'16.70""N","116°19'33.01""E",Kumar
" 36°44'37.14""N","121°37'41.58""E",Kumar
" 35° 7'24.01""N","119°20'5.03""E",Kumar
" 36° 7'11.02""N","120°20'25.01""E",Kumar
" 40° 9'11.38""N","117°12'38.73""E",Kumar
" 40°36'3.07""N","116° 7'50.87""E",Kumar
" 31°16'2.10""N","120°24'57.03""E",Kumar
" 31°23'40.52""N","120°56'35.10""E",Kumar
" 31°40'4.50""N","121°30'16.35""E",Kumar
" 30°35'53.76""N","121° 6'40.67""E",Kumar
" 32°24'25.38""N","121°17'46.76""E",Kumar
" 26° 0'33.37""N","119°17'56.56""E",Kumar
" 26°15'39.74""N","117°43'57.49""E",Kumar
" 25°15'47.17""N","119°21'20.86""E",Kumar
" 25° 8'3.65""N","118°44'59.87""E",Kumar
" 26° 4'4.55""N","119°23'44.33""E",Kumar
" 29°13'22.79""N","119°38'5.48""E",Kumar
" 39°32'21.34""N","121°16'23.31""E",kumar
" 39° 2'32.03""N","123° 9'19.44""E",Kumar
" 43°22'13.46""N","128°11'39.32""E",Kumar
" 43°32'39.18""N","124°48'48.24""E",Kumar
" 31°31'24.79""N"," 80° 4'35.34""E",Kumar
" 33°28'40.53""N"," 79°54'21.28""E",Kumar
" 28°47'11.08""N"," 97°38'5.70""E",Kumar
" 22° 5'56.15""N","100°11'50.58""E",Kumar
" 39°24'1.53""N"," 76° 0'5.10""E",Kumar
" 40°25'33.00""N"," 99°45'42.07""E",Kumar
" 41°53'33.74""N"," 99°55'19.31""E",Kumar
" 36°27'23.75""N"," 94°54'25.39""E",Kumar
" 31°26'56.99""N"," 92° 3'43.76""E",Kumar
" 23°39'45.58""N"," 99°24'56.16""E",Kumar
" 37° 2'46.38""N"," 79°51'40.36""E",Kumar
" 24°59'52.60""N"," 98°33'41.51""E",Kumar
" 41°14'0.28""N"," 80°15'42.99""E",Kumar
" 41°39'30.41""N"," 86° 8'21.09""E",Kumar
" 42°52'57.16""N"," 90°13'51.65""E",Kumar
" 42° 9'33.81""N"," 87°10'51.58""E",Kumar
" 43°56'23.38""N"," 87° 5'40.45""E",Kumar
" 40°13'12.74""N"," 94°42'39.64""E",Kumar
" 42°50'21.84""N"," 93°34'52.74""E",Kumar
" 25°44'53.56""N","101°51'16.26""E",Kumar
" 25° 0'50.58""N","103°38'4.36""E",Kumar
" 27°53'47.86""N","120°44'31.88""E",Kumar
" 44° 4'27.89""N"," 90° 6'46.57""E",Kumar
" 46°30'49.76""N"," 83°35'39.52""E",Kumar
" 43°45'8.62""N"," 95° 0'14.38""E",kumar
" 37° 7'24.92""N"," 75° 0'54.26""E",Kumar
35°12?11.6400?N,48°38?58.5000?E,Shagun
32°36?43.9100?N,13°04?40.3000?E,Shagun
55°24?01.9400?N,37°57?27.3500?E,Shagun
35°41?18.8600?N,51°16?43.1300?E,Shagun
32°44?30.5500?N,51°49?39.3600?E,Shagun
