Latitude,Longitude,Place
35.20323333,48.64958333,Kabudarahang
32.61219722,13.07786111,Al 'Aziziyah
55.40053889,37.95759722,Yakovlevskoye
35.68857222,51.27864722,Tehran
32.74181944,51.8276,Dowlatabad
35.70755,51.07679444,Shahr-e Qods
27.17249722,56.17046667,Bandar 'Abbas
32.62356667,13.12091111,Al 'Aziziyah
32.83463333,13.30119722,Tagiura
32.78308889,51.89005833,Dowlatabad
32.76635278,51.81745556,Dowlatabad
32.59034444,51.70045,Isfahan
25.41881111,60.37223611,Konarak
32.74394167,51.61194444,Rehnan
32.54997222,51.47011111,Qahderijan
33.7903,51.69784722,Kashan
33.72052778,51.85891667,Natanz
33.761025,51.82116111,Natanz
33.67719444,51.94288611,Natanz
28.97312778,50.99300556,Bandar-e Bushehr
38.76672404,101.08655329,Qingquan
30.15755,100.58625,Gaocheng
25.42216389,100.70557778,Xiangcheng
24.91574167,102.56041944,Taiping
25.00749167,102.73925,Kunming
23.4234,103.33610556,Wenlan
41.07042778,100.51571111,Bayanbaogede
33.54433206,73.26626798,Kahuta
51.27181667,58.59188056,Orsk
44.87861389,65.52573333,Kyzylorda
49.78942744,72.96984301,Aqtas
46.27757815,86.33412589,Xazgat
43.39168036,76.599805,Burunday
44.16171667,80.03932222,Zharkent
43.42525556,77.072675,Energeticheskiy
43.45323056,76.84236389,Burunday
40.75833611,73.401625,Uzgen
40.45198333,70.97571389,Qo`qon
41.40019167,69.165875,Saryaghash
41.19868611,69.26523611,Bektemir
40.96195833,68.76870833,Chinoz
41.14826389,69.04052222,Yangiyul
40.481275,68.72370556,Guliston
37.80116389,65.19211667,Atamyrat
37.65729722,61.82871111,Mary
39.11589167,63.48583611,Turkmenabat
40.14135,63.471725,Gazli
38.83306111,65.86004722,Qarshi
37.34474604,60.53589787,Tejen
36.22490153,59.66072253,Mashhad
19.99973933,110.92131349,Wengtian
19.13686111,108.68385556,Basuo
20.83443333,97.76343889,Taunggyi
5.11358611,97.15363056,Lhokseumawe
22.21066444,91.85244443,Chittagong
29.62608513,94.67405219,Lunang
33.15842577,73.63726615,New Mirpur
29.20320019,90.65384383,Dagar
39.58849685,98.89764693,Xiaheqing
40.21986389,94.71141667,Lujiabao
39.39998819,76.00145711,Shule
39.80103273,78.57390101,Alage'er
37.89548177,77.32399206,Yilkiqi
38.13871936,85.51947289,Qiemo
41.65955,86.2024,Sayibage
37.00403056,79.92258333,Hotan
37.04479729,79.86233032,Nu'erbage
41.23314322,80.26290886,Wensu
41.75325278,84.25526111,Luntai
41.65828333,86.13875556,Sayibage
42.15915,87.18026944,Tewulike
39.81864878,98.23053456,Jiayuguan
28.05557781,91.95136706,Xoixar
29.29712247,90.96540633,Konggar
27.83546559,89.13484248,Pagri
29.34584473,89.26554208,Jangdam
25.64302694,57.76562197,Jask
31.44914509,92.06217453,Nagqu
31.14396455,97.27498281,Qamdo
36.45654722,94.90744444,Golmud
17.13587778,96.06956667,Thanatpin
1.35682222,103.67956944,Johor Bahru
18.23455278,109.70483611,Tiandu
18.210025,109.68961389,Tiandu
18.17495833,109.56016389,Sanya
18.20851667,109.53638056,Sanya
18.21456944,109.50350556,Sanya
18.19623333,109.47969722,Sanya
18.39168717,110.04402371,Li'an
19.90822222,109.52059167,Xinying
29.30954534,94.35125756,Mainling
21.38718611,110.18994444,Suicheng
22.58193889,108.21547778,Nanning
25.11999486,110.28797116,Guilin
26.59995556,112.899225,Leiyang
38.01481944,58.17711944,Abadan
38.04257778,58.33875278,Ashgabat
37.93469722,58.27626667,Ashgabat
37.89439167,58.42709167,Ashgabat
37.97381389,58.50188333,Annau
37.382825,59.62783333,Kaka
37.3573279,59.62403925,Kaka
36.20298889,59.7843656,Mashhad
36.65114444,61.2446,Sarakhs
37.61175556,61.88833611,Mary
37.23949722,67.24345,Tirmiz
40.22469444,69.66985278,Chkalov
42.37048056,69.46253889,Shymkent
43.33385278,76.85853611,Burunday
43.39126144,76.91816088,Pervomayskiy
43.73346944,77.10740556,Kapshagay
43.989375,80.89646111,Huiyuan
48.56223889,83.63042222,Kurchum
47.75266944,84.17870833,Tughyl
48.02661111,85.36673611,Jeminay
48.04335833,86.40641667,Xalxikay
49.60465,83.0641,Asubulaq
49.86140236,72.79650543,Sorang
50.994025,72.09049444,Osakarovka
51.06204722,70.96068333,Astana
50.30159722,66.93354167,Arkalyk
48.76773056,58.06144444,Embi
51.72081389,54.961075,Podgorodnyaya Pokrovka
51.13419722,49.64075,Staryye Ozinki
41.09244444,100.500875,Bayanbaogede
39.53852936,76.03713113,Kashi
32.01112194,72.18642235,Sahiwal
33.6197569,73.08912731,Rawalpindi
